,code,name,times_4,net40,net41
396,600696,*ST匹凸,-98.47,466.93,-45977.59
397,600681,百川能源,-11.81,-4666.13,55117.41
398,600673,东阳光科,4.43,2474.03,10948.39
399,600671,天目药业,3.15,38.64,121.72
400,600657,信达地产,19.33,4557.22,88099.54
401,600655,豫园商城,2.78,17214.0,47884.45
402,600651,飞乐音响,10.63,3304.11,35109.21
403,600643,爱建集团,40.03,1549.98,62050.08
404,600639,浦东金桥,2.9,21250.44,61674.82
405,600634,富控互动,67.2,256.41,17231.04
406,600609,金杯汽车,-2.45,8502.14,-20841.52
407,600602,云赛智联,12.75,1864.64,23772.06
408,600598,北大荒,1.38,53451.63,73510.7
409,600590,泰豪科技,2.0,6182.93,12382.92
410,600582,天地科技,4.51,20656.2,93187.96
411,600551,时代出版,112.01,359.42,40259.03
412,600506,香梨股份,-6.43,134.18,-862.59
413,600505,西昌电力,1.16,4848.51,5603.2
414,600490,鹏欣资源,18.38,280.21,5149.29
415,600469,风神股份,6.88,1229.67,8455.14
416,600462,九有股份,-0.03,-25038.15,673.78
417,600439,瑞贝卡,1.7,10087.52,17160.66
418,600418,江淮汽车,2.82,41175.54,116196.57
419,600409,三友化工,5.48,13932.72,76286.0
420,600406,国电南瑞,13.08,11065.29,144717.65
421,600400,红豆股份,3.24,4922.79,15941.77
422,600387,海越股份,0.98,4073.75,4002.59
423,600375,华菱星马,2.49,3034.08,7554.82
424,600323,瀚蓝环境,5.97,8515.68,50856.75
425,600307,酒钢宏兴,0.19,44534.43,8242.16
426,600301,ST南化,0.11,5319.51,601.42
427,600277,亿利洁能,12.4,2084.25,25843.43
428,600255,鑫科材料,3.79,5053.91,19176.91
429,600239,云南城投,45.15,540.74,24413.94
430,600228,*ST昌九,-3.25,1141.98,-3709.08
431,600225,*ST松江,1.18,-38441.55,-45500.02
432,600173,卧龙地产,8.87,910.56,8074.36
433,600151,航天机电,1.83,10956.28,20045.26
434,600146,商赢环球,4.73,610.75,2890.86
435,600136,当代明诚,20.26,602.94,12218.42
436,600111,北方稀土,1.15,7905.86,9083.56
437,600097,开创国际,1.15,686.53,786.83
438,600050,中国联通,0.04,364461.03,15407.41
439,300051,三五互联,6.56,867.35,5688.85
440,300025,华星创业,7.52,996.9,7498.3
441,002663,普邦股份,7.59,1385.11,10517.91
442,002583,海能达,19.03,2111.69,40182.84
443,002319,乐通股份,0.04,2136.95,88.17
444,002299,圣农发展,12.67,5355.56,67872.8
445,002282,博深工具,0.33,3760.3,1248.45
446,002255,海陆重工,2.2,3420.06,7535.26
447,002245,澳洋顺昌,7.55,2724.88,20562.14
448,002191,劲嘉股份,3.51,16277.68,57072.14
449,002181,粤 传 媒,2.75,6896.32,18953.67
450,002173,*ST创疗,4.37,2622.13,11471.35
451,002168,深圳惠程,1.82,4161.08,7591.25
452,002162,悦心健康,0.25,6860.92,1702.63
453,002129,中环股份,5.45,7375.03,40200.63
454,002128,露天煤业,2.08,39523.58,82395.56
455,002120,韵达股份,41.03,2869.26,117722.43
456,002115,三维通信,0.9,3053.98,2760.05
457,002113,天润数娱,2.06,2628.12,5411.31
458,002082,栋梁新材,2.12,3284.97,6973.56
459,002076,雪 莱 特,0.92,4383.39,4050.39
460,002075,沙钢股份,4.56,4826.63,21999.55
461,002061,江山化工,0.83,7987.08,6627.97
462,002050,三花智控,19.24,4457.64,85745.53
463,002049,紫光国芯,12.94,2596.63,33610.64
464,002025,航天电器,2.28,11467.79,26106.72
465,002015,霞客环保,-1.37,3020.26,-4124.19
466,002012,凯恩股份,1.11,779.4,868.91
467,000981,银亿股份,-3.13,-16427.46,51388.43
468,000953,*ST河化,-7.42,1910.78,-14176.06
469,000916,华北高速,1.2,25057.33,30001.0
470,000898,鞍钢股份,0.24,684500.0,161600.0
471,000892,欢瑞世纪,-0.33,-79444.15,26507.31
472,000889,茂业通信,95.43,230.48,21995.41
473,000885,同力水泥,7.59,562.62,4269.42
474,000862,银星能源,1.24,888.05,1103.02
475,000838,财信发展,82.56,134.82,11130.79
476,000821,京山轻机,2.84,3003.32,8536.3
477,000812,陕西金叶,-0.33,-10671.7,3492.67
478,000800,一汽轿车,-2.75,34739.85,-95432.73
479,000758,中色股份,0.89,33211.34,29601.33
480,000755,*ST三维,-5.09,13260.99,-67490.91
