,code,name,times_3,times_4,net30,net40,net31,net41
273,000551,创元科技,0.28,1.03,8583.18,4845.5,2411.13,4977.11
274,603009,北特科技,1.65,2.59,2807.41,2154.65,4643.43,5576.62
275,300124,汇川技术,7.89,16.75,10261.6,5564.22,80928.14,93183.75
276,002450,康得新,30.47,67.93,4626.26,2889.52,140945.73,196290.8
277,600184,光电股份,4.98,3.93,948.86,753.64,4724.25,2960.92
278,002305,南国置业,0.18,0.27,16618.64,16095.68,3068.72,4328.14
279,000060,中金岭南,0.49,0.81,41422.69,40039.4,20094.67,32322.88
280,603001,奥康国际,1.86,8.23,20951.39,3710.12,39022.78,30520.47
281,002446,盛路通信,2.92,5.16,4160.22,3128.81,12132.33,16137.89
282,600523,贵航股份,1.59,2.52,10394.5,6883.4,16556.4,17323.95
283,000063,中兴通讯,1.31,-1.42,245812.1,166019.9,320788.5,-235741.8
284,600372,中航电子,18.71,-1.08,2549.14,-42487.31,47701.12,46041.36
285,000420,吉林化纤,0.81,-0.09,1767.81,-35985.81,1438.16,3250.47
286,002520,日发精机,1.04,1.12,3802.36,3669.23,3957.8,4112.47
287,300115,长盈精密,8.29,14.95,5423.23,4575.02,44977.02,68373.99
288,002184,海得控制,1.88,0.25,4136.65,5432.44,7786.04,1342.69
289,600315,上海家化,9.47,1.17,23328.57,18503.9,220996.1,21601.67
290,000501,鄂武商Ａ,3.35,5.5,23875.2,18039.21,79930.71,99163.41
291,002064,华峰氨纶,2.37,-1.86,10736.56,16363.72,25412.65,-30380.88
292,002592,八菱科技,2.36,3.07,5307.78,4188.03,12530.23,12841.34
293,600091,ST明科,-0.04,-0.08,-96043.53,-19933.04,3384.21,1501.83
294,000910,大亚圣象,1.55,2.7,20560.41,20044.33,31789.73,54111.82
295,600061,国投安信,1019.24,468.83,443.72,546.41,452259.27,256173.2
296,601177,杭齿前进,-1.41,0.1,8523.28,7514.88,-11992.25,730.0
297,000687,华讯方舟,-4.15,-1.19,6584.79,-13572.81,-27317.65,16108.68
298,600322,天房发展,0.03,-3.35,15641.62,11236.46,449.48,-37676.76
299,600860,*ST京城,1.19,0.57,-17400.46,-26314.16,-20781.74,-14878.76
300,002585,双星新材,1.74,6.56,6934.24,2028.24,12050.77,13302.27
301,600088,中视传媒,0.23,-2.3,11449.78,5423.9,2638.01,-12477.78
302,002481,双塔食品,4.44,1.97,4295.46,2883.04,19057.72,5692.54
303,000068,华控赛格,-0.0,0.48,-192637.01,2073.2,700.55,997.52
304,600679,上海凤凰,1.1,12.48,332.83,423.91,365.6,5288.61
305,002472,双环传动,1.95,3.55,7012.1,5227.86,13674.14,18574.91
306,002535,林州重机,-5.18,0.31,5721.74,4799.29,-29665.41,1475.08
307,600316,洪都航空,0.4,0.11,19656.21,10288.94,7816.52,1104.04
308,300308,中际装备,0.18,0.33,3127.16,3047.76,559.4,1005.41
309,600983,惠而浦,1.77,3.24,20663.26,11492.69,36672.64,37227.75
310,000048,康达尔,4.46,0.17,4575.11,3612.0,20398.44,596.08
311,002225,濮耐股份,0.66,-1.75,12892.51,10576.56,8463.65,-18494.73
312,300228,富瑞特装,0.45,-12.35,3669.39,2417.49,1637.5,-29863.25
313,300098,高新兴,2.39,7.74,5874.65,4082.06,14013.84,31595.77
314,000768,中航飞机,1.27,1.06,31565.45,38907.53,40005.24,41313.34
315,300029,天龙光电,-5.24,-0.97,6839.63,5887.8,-35849.64,-5701.03
316,000702,正虹科技,0.53,0.18,928.35,1135.23,488.33,202.45
317,600828,茂业商业,0.6,5.55,12783.58,10234.52,7677.19,56802.79
318,600162,香江控股,1.52,3.28,25557.74,21074.38,38971.75,69029.22
319,600516,方大炭素,1.62,0.12,1911.92,54531.07,3101.37,6744.89
320,300123,太阳鸟,0.48,0.91,2803.43,2015.83,1348.39,1827.0
321,600644,乐山电力,2.03,2.47,5678.31,8547.22,11551.67,21147.2
322,600742,一汽富维,1.2,2.25,35473.59,18951.6,42508.02,42726.88
323,000712,锦龙股份,4.57,17.13,20002.74,2134.65,91322.06,36556.41
324,600098,广州发展,1.83,1.85,71048.91,36170.0,130261.49,66896.33
325,600393,粤泰股份,0.96,1.07,6730.17,13560.96,6450.95,14514.23
326,000913,钱江摩托,-1.1,8.07,11848.94,4065.57,-13024.64,32824.46
327,000809,*ST新城,36.34,-72.65,-493.49,331.02,-17933.97,-24047.05
328,600862,中航高科,0.72,1.52,20196.21,4833.5,14460.59,7342.21
329,002320,海峡股份,0.86,1.22,13704.36,12854.69,11727.89,15686.93
330,000828,东莞控股,2.81,4.49,29051.41,18448.38,81651.42,82901.82
331,002204,大连重工,0.14,0.21,15470.76,12910.11,2187.94,2728.28
332,000803,*ST金宇,-13.44,-9.04,247.66,681.67,-3327.79,-6163.91
333,600399,抚顺特钢,7.39,3.2,2660.91,3475.87,19673.28,11123.73
334,600291,西水股份,0.5,1.34,35692.36,2683.3,17781.41,3599.57
335,600853,龙建股份,0.75,2.28,2642.22,1287.69,1991.47,2930.72
336,600466,蓝光发展,54.8,88.19,1468.97,1015.76,80500.33,89577.36
337,000812,陕西金叶,0.45,1.84,4370.8,1898.72,1979.96,3492.67
338,600575,皖江物流,55.52,14.18,353.93,3333.79,19649.7,47277.73
339,000998,隆平高科,10.13,7.72,4847.03,6488.71,49106.7,50115.76
340,000990,诚志股份,2.98,4.03,4059.34,2748.91,12107.85,11078.01
341,600699,均胜电子,-1.13,-3.59,-35360.89,-12633.32,39985.79,45369.38
342,601137,博威合金,0.76,4.71,9304.01,3892.57,7050.23,18335.04
343,300326,凯利泰,6.73,11.68,1791.41,1359.36,12064.81,15884.09
344,300261,雅本化学,2.37,1.28,2584.93,1266.24,6123.1,1620.52
345,600301,ST南化,0.14,-0.05,-29729.03,-13137.06,-4183.52,601.42
346,002540,亚太科技,2.58,3.61,9322.96,8230.23,24080.29,29677.22
